alias_key,alias_display,code,iso_a3,basis,source,confidence,override
middle ogooue,Middle Ogooue,GAB003,GAB,Moyen-Ogooué is the French name; 'Middle Ogooue' is the standard English translation of 'Moyen'.,pretraining,medium,False
akrotiri and dhekelia,Akrotiri and Dhekelia,GBR001,GBR,Common shorthand dropping the 'Sovereign Base Areas of' prefix and the '(U.K.)' suffix when referring to this territory.,pretraining,high,False
central river region north,Central River Region North,GMB002,GMB,Central River North is sometimes referred to with the word 'Region' included in administrative documents.,pretraining,medium,False
central river region south,Central River Region South,GMB003,GMB,Central River South is sometimes referred to with the word 'Region' included in administrative documents.,pretraining,medium,False
bolama-bijagos,Bolama-Bijagos,GNB003,GNB,The canonical name uses a slash separator; the hyphenated form is commonly used in English sources for this archipelago region.,pretraining,high,False
bissau,Bissau,GNB008,GNB,"The Autonomous Sector of Bissau is commonly referred to simply as Bissau in English usage, as it is the capital city region.",pretraining,high,False
bissau autonomous sector,Bissau Autonomous Sector,GNB008,GNB,English translation of the canonical Portuguese name 'Sector Autonomo De Bissau'.,pretraining,high,False
bioko north,Bioko North,GNQ002,GNQ,"English translation of 'Bioko Norte', where Norte means North in Spanish.",pretraining,medium,False
bioko south,Bioko South,GNQ003,GNQ,"English translation of 'Bioko Sur', where Sur means South in Spanish.",pretraining,medium,False
central south,Central South,GNQ004,GNQ,"Alternative English translation of 'Centro Sur', a region in continental Equatorial Guinea.",pretraining,medium,False
south center,South Center,GNQ004,GNQ,"English translation of 'Centro Sur', meaning South Center or Central South in Spanish.",pretraining,medium,False
attica,Attica,GRC002,GRC,"Standard English exonym for the Greek region 'Attiki', which includes Athens and is widely known by this classical English name.",pretraining,high,False
ionian islands,Ionian Islands,GRC005,GRC,"Standard English exonym for 'Ionioi Nisoi', the Greek island group in the Ionian Sea, widely used in English.",pretraining,high,False
epirus,Epirus,GRC006,GRC,"Standard English exonym for the Greek region 'Ipeiros', derived from the classical Greek name for this northwestern region.",pretraining,high,False
peloponnese,Peloponnese,GRC010,GRC,"Standard English exonym for 'Peloponnisos', the large peninsula in southern Greece, widely used in English-language sources.",pretraining,high,False
thessaly,Thessaly,GRC012,GRC,"Standard English exonym for 'Thessalia', the historical and administrative region of central Greece, widely used in English.",pretraining,high,False
barima-waini,Barima-Waini,GUY001,GUY,The canonical WB name uses a space after the slash; the hyphenated form is the standard official spelling used in Guyana.,pretraining,high,False
region 1,Region 1,GUY001,GUY,Guyana's regions are commonly referred to by their official number; Region 1 is the standard numerical alias for Barima-Waini.,pretraining,high,False
cuyuni-mazaruni,Cuyuni-Mazaruni,GUY002,GUY,The canonical WB name uses a slash; the hyphenated form is the standard official spelling used in Guyana.,pretraining,high,False
region 7,Region 7,GUY002,GUY,Guyana's regions are commonly referred to by their official number; Region 7 is the standard numerical alias for Cuyuni-Mazaruni.,pretraining,high,False
demerara-mahaica,Demerara-Mahaica,GUY003,GUY,The canonical WB name uses a space; the hyphenated form is the standard official spelling used in Guyana.,pretraining,high,False
region 4,Region 4,GUY003,GUY,Guyana's regions are commonly referred to by their official number; Region 4 is the standard numerical alias for Demerara-Mahaica.,pretraining,high,False
east berbice-corentyne,East Berbice-Corentyne,GUY004,GUY,The canonical WB name uses a slash; the hyphenated form is the standard official spelling used in Guyana.,pretraining,high,False
region 6,Region 6,GUY004,GUY,Guyana's regions are commonly referred to by their official number; Region 6 is the standard numerical alias for East Berbice-Corentyne.,pretraining,high,False
essequibo islands-west demerara,Essequibo Islands-West Demerara,GUY005,GUY,The canonical WB name uses a slash; the hyphenated form is the standard official spelling used in Guyana.,pretraining,high,False
region 3,Region 3,GUY005,GUY,Guyana's regions are commonly referred to by their official number; Region 3 is the standard numerical alias for Essequibo Islands-West Demerara.,pretraining,high,False
mahaica-berbice,Mahaica-Berbice,GUY006,GUY,The canonical WB name uses a space; the hyphenated form is the standard official spelling used in Guyana.,pretraining,high,False
region 5,Region 5,GUY006,GUY,Guyana's regions are commonly referred to by their official number; Region 5 is the standard numerical alias for Mahaica-Berbice.,pretraining,high,False
pomeroon-supenaam,Pomeroon-Supenaam,GUY007,GUY,The canonical WB name uses a slash; the hyphenated form is the standard official spelling used in Guyana.,pretraining,high,False
region 2,Region 2,GUY007,GUY,Guyana's regions are commonly referred to by their official number; Region 2 is the standard numerical alias for Pomeroon-Supenaam.,pretraining,high,False
potaro-siparuni,Potaro-Siparuni,GUY008,GUY,The canonical WB name uses a slash; the hyphenated form is the standard official spelling used in Guyana.,pretraining,high,False
region 8,Region 8,GUY008,GUY,Guyana's regions are commonly referred to by their official number; Region 8 is the standard numerical alias for Potaro-Siparuni.,pretraining,high,False
region 10,Region 10,GUY009,GUY,Guyana's regions are commonly referred to by their official number; Region 10 is the standard numerical alias for Upper Demerara-Berbice.,pretraining,high,False
upper demerara-berbice,Upper Demerara-Berbice,GUY009,GUY,The canonical WB name uses a slash; the hyphenated form is the standard official spelling used in Guyana.,pretraining,high,False
region 9,Region 9,GUY010,GUY,Guyana's regions are commonly referred to by their official number; Region 9 is the standard numerical alias for Upper Takutu-Upper Essequibo.,pretraining,high,False
upper takutu-upper essequibo,Upper Takutu-Upper Essequibo,GUY010,GUY,The canonical WB name uses a slash; the hyphenated form is the standard official spelling used in Guyana.,pretraining,high,False
la mosquitia,La Mosquitia,HND008,HND,"English-language sources frequently use 'La Mosquitia' to refer to the Gracias a Dios department, the name of the broader geographic region.",pretraining,high,False
mosquitia,Mosquitia,HND008,HND,Gracias a Dios department is commonly referred to in English as 'Mosquitia' or 'La Mosquitia' after the Mosquito Coast region it encompasses.,pretraining,high,False
city of zagreb,City of Zagreb,HRV003,HRV,The Croatian capital's administrative county is commonly referred to in English as 'City of Zagreb'.,pretraining,high,False
istria,Istria,HRV004,HRV,The Croatian county 'Istra' has a well-established English exonym 'Istria' referring to the Istrian peninsula.,pretraining,high,False
medimurje county,Medimurje County,HRV009,HRV,English sources frequently append 'County' to Croatian county names when referring to them in administrative contexts.,pretraining,medium,False
medjimurje,Medjimurje,HRV009,HRV,"English-language sources commonly render the Croatian 'Medimurje' as 'Medjimurje', an alternative romanization without the diacritic.",pretraining,medium,False
kvarner,Kvarner,HRV012,HRV,"The county is sometimes informally referred to by the name of its bay, 'Kvarner', in English-language tourism and geographic sources.",pretraining,medium,False
primorje-gorski kotar,Primorje-Gorski Kotar,HRV012,HRV,The WB canonical name 'Primorje-gorski Kota' appears truncated; English sources consistently spell the county as 'Primorje-Gorski Kotar'.,pretraining,high,False
sibenik-knin,Sibenik-Knin,HRV013,HRV,"The county's full official name is Sibenik-Knin; the WB canonical form drops the '-Knin' part, but English sources use the full hyphenated name.",pretraining,high,False
brod-posavina,Brod-Posavina,HRV015,HRV,"The county is commonly referred to in English as 'Brod-Posavina' after its 2016 renaming, differing from the WB 'Slavonski Brod-posav'.",pretraining,high,False
slavonski brod-posavina,Slavonski Brod-Posavina,HRV015,HRV,Alternative English rendering of the county using its former name with proper capitalization of 'Posavina'.,pretraining,medium,False
split-dalmatia,Split-Dalmatia,HRV016,HRV,English-language sources consistently use 'Split-Dalmatia' as the English exonym for the Croatian county 'Split-Dalmatija'.,pretraining,high,False
vukovar-syrmia,Vukovar-Syrmia,HRV019,HRV,"The Croatian 'Vukovar-Srijem' county is often rendered in English as 'Vukovar-Syrmia', using the Latin/English exonym for the Srijem/Syrmia region.",pretraining,high,False
zadar county,Zadar County,HRV020,HRV,The county was renamed to simply 'Zadar County' after reorganization; the WB form 'Zadar-Knin' reflects an older administrative name.,pretraining,high,False
zagreb county,Zagreb County,HRV021,HRV,"The WB region 'Zagreb' refers to Zagreb County (Zagrebačka županija), distinct from the City of Zagreb, and English sources often use 'Zagreb County' to disambiguate.",pretraining,medium,False
budapest capital region,Budapest Capital Region,HUN005,HUN,Budapest is sometimes referred to as the Budapest Capital Region in English administrative contexts to distinguish the city-county from the surrounding Pest county.,pretraining,medium,False
csongrad-csanad,Csongrad-Csanad,HUN006,HUN,The county was officially renamed Csongrad-Csanad in 2020; the WB canonical name Csongrad reflects the older name.,pretraining,medium,False
north sumatra,North Sumatra,IDN002,IDN,Sumatera Utara is the Indonesian name; 'North Sumatra' is the standard English translation widely used in English-language sources.,pretraining,high,False
west sumatra,West Sumatra,IDN003,IDN,Sumatera Barat is the Indonesian name; 'West Sumatra' is the standard English translation widely used in English-language sources.,pretraining,high,False
south sumatra,South Sumatra,IDN006,IDN,Sumatera Selatan is the Indonesian name; 'South Sumatra' is the standard English translation widely used in English-language sources.,pretraining,high,False
jakarta,Jakarta,IDN011,IDN,DKI Jakarta (Daerah Khusus Ibukota Jakarta) is the full official name; 'Jakarta' is the universally used short English name for the capital region.,pretraining,high,False
west java,West Java,IDN012,IDN,Jawa Barat is the Indonesian name; 'West Java' is the standard English translation widely used in English-language sources.,pretraining,high,False
central java,Central Java,IDN013,IDN,Jawa Tengah is the Indonesian name; 'Central Java' is the standard English translation widely used in English-language sources.,pretraining,high,False
special region of yogyakarta,Special Region of Yogyakarta,IDN014,IDN,"Daerah Istimewa Yogyakarta translates directly to 'Special Region of Yogyakarta', the English translation used in official and academic contexts.",pretraining,high,False
yogyakarta,Yogyakarta,IDN014,IDN,Daerah Istimewa Yogyakarta means 'Special Region of Yogyakarta'; 'Yogyakarta' is the common English short form used universally.,pretraining,high,False
east java,East Java,IDN015,IDN,Jawa Timur is the Indonesian name; 'East Java' is the standard English translation widely used in English-language sources.,pretraining,high,False
east nusa tenggara,East Nusa Tenggara,IDN019,IDN,Nusa Tenggara Timur translates to 'East Nusa Tenggara'; this English translation is widely used in academic and official English-language sources.,pretraining,high,False
west kalimantan,West Kalimantan,IDN020,IDN,Kalimantan Barat is the Indonesian name; 'West Kalimantan' is the standard English translation widely used in English-language sources.,pretraining,high,False
central kalimantan,Central Kalimantan,IDN021,IDN,Kalimantan Tengah is the Indonesian name; 'Central Kalimantan' is the standard English translation widely used in English-language sources.,pretraining,high,False
south kalimantan,South Kalimantan,IDN022,IDN,Kalimantan Selatan is the Indonesian name; 'South Kalimantan' is the standard English translation widely used in English-language sources.,pretraining,high,False
east kalimantan,East Kalimantan,IDN023,IDN,Kalimantan Timur is the Indonesian name; 'East Kalimantan' is the standard English translation widely used in English-language sources.,pretraining,high,False
north kalimantan,North Kalimantan,IDN024,IDN,Kalimantan Utara is the Indonesian name; 'North Kalimantan' is the standard English translation widely used in English-language sources.,pretraining,high,False
north sulawesi,North Sulawesi,IDN025,IDN,Standard English translation of 'Sulawesi Utara' (Utara means North in Indonesian).,pretraining,high,False
central sulawesi,Central Sulawesi,IDN026,IDN,Standard English translation of 'Sulawesi Tengah' (Tengah means Central in Indonesian).,pretraining,high,False
south sulawesi,South Sulawesi,IDN027,IDN,Standard English translation of 'Sulawesi Selatan' (Selatan means South in Indonesian).,pretraining,high,False
southeast sulawesi,Southeast Sulawesi,IDN028,IDN,Standard English translation of 'Sulawesi Tenggara' (Tenggara means Southeast in Indonesian).,pretraining,high,False
south west papua,South West Papua,IDN034,IDN,"Standard English translation of 'Papua Barat Daya' (Barat Daya means Southwest in Indonesian), the newly created province.",pretraining,medium,False
southwest papua,Southwest Papua,IDN034,IDN,Compact English form of 'Papua Barat Daya' used in English-language sources for this province created in 2022.,pretraining,medium,False
west papua,West Papua,IDN035,IDN,"Standard English translation of 'Papua Barat' (Barat means West in Indonesian), widely used in English-language sources.",pretraining,high,False
south papua,South Papua,IDN036,IDN,"Standard English translation of 'Papua Selatan' (Selatan means South in Indonesian), a province created in 2022.",pretraining,high,False
central papua,Central Papua,IDN037,IDN,"Standard English translation of 'Papua Tengah' (Tengah means Central in Indonesian), a province created in 2022.",pretraining,high,False
highland papua,Highland Papua,IDN038,IDN,"Standard English translation of 'Papua Pegunungan' (Pegunungan means Mountains/Highlands in Indonesian), a province created in 2022.",pretraining,high,False
papua highlands,Papua Highlands,IDN038,IDN,Alternative English rendering of 'Papua Pegunungan' used in some English-language sources.,pretraining,medium,False
national capital territory,National Capital Territory,IND010,IND,"Delhi is officially designated the National Capital Territory of Delhi, often referenced by this descriptive English name.",pretraining,medium,False
orissa,Orissa,IND026,IND,Odisha was officially renamed from Orissa in 2011; Orissa remains widely used in English contexts and historical references.,pretraining,high,False
pondicherry,Pondicherry,IND027,IND,Puducherry was officially renamed from Pondicherry in 2006; the former name remains the most widely recognized English form internationally.,pretraining,high,False
tamilnadu,Tamilnadu,IND031,IND,Common alternate single-word spelling of Tamil Nadu used in some English sources and URLs.,pretraining,medium,False
ardabil,Ardabil,IRN001,IRN,"Alternative common English romanization of the province name, widely used in academic and geographic sources.",pretraining,high,False
chaharmahal and bakhtiari,Chaharmahal and Bakhtiari,IRN003,IRN,Standard English rendering uses 'and' instead of '-o' and the full form 'Bakhtiari' instead of 'bakhtiyar'.,pretraining,high,False
isfahan,Isfahan,IRN005,IRN,"Widely used English/international spelling of the province and city name, more common than 'Esfahan' in English sources.",pretraining,high,False
qazvin,Qazvin,IRN007,IRN,Standard English romanization of this province uses 'Qazvin' rather than 'Ghazvin'.,pretraining,high,False
kohgiluyeh and boyer-ahmad,Kohgiluyeh and Boyer-Ahmad,IRN018,IRN,Standard English rendering uses 'and' and the full form 'Boyer-Ahmad' rather than the contracted 'boyerahma'.,pretraining,high,False
kurdistan,Kurdistan,IRN019,IRN,"Common English name for this province, using the well-known English exonym 'Kurdistan' rather than the Persian romanization 'Kordestan'.",pretraining,high,False
sistan and balochestan,Sistan and Balochestan,IRN024,IRN,"Alternative English romanization of Baluchestan as 'Balochestan', widely used in academic and journalistic sources.",pretraining,high,False
sistan and baluchestan,Sistan and Baluchestan,IRN024,IRN,The WB canonical name uses a Persian-style connector '-o-' but English sources consistently write 'Sistan and Baluchestan'.,pretraining,high,False
sistan-baluchestan,Sistan-Baluchestan,IRN024,IRN,Hyphenated English shorthand commonly used in international reporting and maps.,pretraining,medium,False
west azerbayjan,West Azerbayjan,IRN026,IRN,Alternative English romanization occasionally seen in older or transliteration-heavy sources.,pretraining,medium,False
anbar,Anbar,IRQ001,IRQ,Al-Anbar is commonly referred to simply as Anbar in English-language news and government sources.,pretraining,high,False
basra,Basra,IRQ002,IRQ,"Al-Basrah is widely known in English as Basra, Iraq's second-largest city and the province named after it.",pretraining,high,False
basrah,Basrah,IRQ002,IRQ,Alternative English romanization of Al-Basrah used in many official and journalistic sources.,pretraining,high,False
muthanna,Muthanna,IRQ003,IRQ,"Al-Muthanna is commonly referred to as Muthanna in English sources, dropping the Arabic article.",pretraining,high,False
najaf,Najaf,IRQ004,IRQ,"Al-Najaf is widely known in English simply as Najaf, a major Shia holy city and province.",pretraining,high,False
diwaniyah,Diwaniyah,IRQ005,IRQ,"Al-Qadissiya governorate is often referred to by the name of its capital city, Diwaniyah, in English-language sources.",pretraining,medium,False
qadisiyyah,Qadisiyyah,IRQ005,IRQ,"Al-Qadissiya is also romanized as Qadisiyyah in English sources, an alternate transliteration of the same Arabic name.",pretraining,high,False
sulaimaniya,Sulaimaniya,IRQ006,IRQ,Alternative English romanization of the Kurdish province name used in many journalistic and official sources.,pretraining,high,False
sulaymaniyah,Sulaymaniyah,IRQ006,IRQ,"Al-Sulaymaniyah is commonly written as Sulaymaniyah in English, dropping the Arabic article.",pretraining,high,False
dohuk,Dohuk,IRQ010,IRQ,Dohuk is a widely used alternative English spelling of the Duhok governorate in Iraqi Kurdistan.,pretraining,high,False
arbil,Arbil,IRQ011,IRQ,Arbil is another common English romanization of the Kurdish capital city and governorate Erbil.,pretraining,high,False
irbil,Irbil,IRQ011,IRQ,Erbil is also romanized as Irbil in many English sources including the UN and US government documents.,pretraining,high,False
karbala,Karbala,IRQ012,IRQ,"Kerbala is more commonly spelled Karbala in English, the major Shia holy city and Iraqi governorate.",pretraining,high,False
missan,Missan,IRQ014,IRQ,Maysan governorate is also romanized as Missan in some English and official Iraqi sources.,pretraining,medium,False
nineveh,Nineveh,IRQ015,IRQ,"Ninewa is the modern Arabic romanization, but Nineveh is the widely-used English name for this governorate, referencing the ancient Assyrian city.",pretraining,high,False
saladin,Saladin,IRQ016,IRQ,"Salah Al-Din is the Arabic name; Saladin is the well-known English form of this name, referencing the famous historical figure.",pretraining,high,False
salah ad-din,Salah ad-Din,IRQ016,IRQ,"Alternative English romanization of the governorate name, used in academic and some official sources.",pretraining,high,False
dhi qar,Dhi Qar,IRQ017,IRQ,Thi Qar is also commonly romanized as Dhi Qar in English-language sources including UN documents.,pretraining,high,False
wasit,Wasit,IRQ018,IRQ,"Wassit is also commonly spelled Wasit in English, an alternative romanization of the governorate name.",pretraining,high,False
east bardastrands,East Bardastrands,ISL002,ISL,"Austur-baroastrandar is the Icelandic name; 'Austur' means 'East' and 'baroastrandar' refers to Bardastrands, giving the English form East Bardastrands.",pretraining,medium,False
east hunavatns,East Hunavatns,ISL003,ISL,Austur-hunavatns means 'East Hunavatns' in Icelandic; 'Austur' translates to 'East'.,pretraining,medium,False
east skaftafell,East Skaftafell,ISL004,ISL,Austur-skaftafells is the Icelandic name for the eastern Skaftafell county; 'Austur' means 'East'.,pretraining,medium,False
eyjafjordur,Eyjafjordur,ISL007,ISL,Eyjafjaroar is the genitive Icelandic form; the nominative and commonly used English-language spelling is Eyjafjordur.,pretraining,high,False
north isafjardar,North Isafjardar,ISL011,ISL,Norour-isafjaroar means 'North Isafjardar' in Icelandic; 'Norour' translates to 'North'.,pretraining,medium,False
north mula,North Mula,ISL012,ISL,Norour-mula means 'North Mula' in Icelandic; 'Norour' translates to 'North'.,pretraining,medium,False
north thingeyjarsysla,North Thingeyjarsysla,ISL013,ISL,Norour-pingeyjar is the Icelandic name; the English exonym uses 'North Thingeyjarsysla' with Th- for the thorn character.,pretraining,medium,False
skagafjordur,Skagafjordur,ISL015,ISL,Skagafjaroar is the Icelandic genitive form; the nominative and English-used spelling is Skagafjordur.,pretraining,high,False
south mula,South Mula,ISL018,ISL,Suour-mula means 'South Mula' in Icelandic; 'Suour' translates to 'South'.,pretraining,medium,False
south thingeyjarsysla,South Thingeyjarsysla,ISL019,ISL,Suour-pingeyjar is the Icelandic name; the English exonym uses 'South Thingeyjarsysla' with Th- for the thorn character.,pretraining,medium,False
west bardastrands,West Bardastrands,ISL020,ISL,Vestur-baroastrandar means 'West Bardastrands' in Icelandic; 'Vestur' translates to 'West'.,pretraining,medium,False
west hunavatn,West Hunavatn,ISL021,ISL,"Vestur-hunavatns is Icelandic for West Hunavatn, with 'vestur' meaning west and 'hunavatns' being the genitive of Hunavatn (a lake/region name).",pretraining,medium,False
west isafjord,West Isafjord,ISL022,ISL,"Vestur-isafjaroar is Icelandic for West Isafjord, with 'vestur' meaning west and 'isafjaroar' being the genitive of Isafjordur (a fjord/town).",pretraining,medium,False
west skaftafell,West Skaftafell,ISL023,ISL,"Vestur-skaftafells is Icelandic for West Skaftafell, with 'vestur' meaning west and 'skaftafells' being the genitive of Skaftafell (a region in southeast Iceland).",pretraining,medium,False
center district,Center District,ISR001,ISR,The Central District of Israel is commonly referred to as 'Center District' in English-language sources.,pretraining,medium,False
haifa district,Haifa District,ISR002,ISR,"The region named 'Haifa' in the WB database is officially the Haifa District, and callers commonly include the word 'District'.",pretraining,medium,False
jerusalem district,Jerusalem District,ISR003,ISR,"The 'Jerusalem' WB region is officially the Jerusalem District, and English speakers commonly use the full form.",pretraining,medium,False
northern district,Northern District,ISR004,ISR,The WB canonical name 'Northern' is commonly referred to as 'Northern District' in English-language sources about Israeli administrative divisions.,pretraining,high,False
tel aviv district,Tel Aviv District,ISR006,ISR,"The WB region 'Tel Aviv' is officially the Tel Aviv District, and English speakers commonly include 'District' when referring to the administrative division.",pretraining,medium,False
abruzzo,Abruzzo,ITA001,ITA,The modern Italian and internationally used spelling is 'Abruzzo'; the WB canonical 'Abruzzi' is an older plural form rarely used today.,pretraining,high,False
lombardy,Lombardy,ITA009,ITA,The standard English exonym for the Italian region 'Lombardia' is 'Lombardy'.,pretraining,high,False
piedmont,Piedmont,ITA012,ITA,The standard English exonym for the Italian region 'Piemonte' is 'Piedmont'.,pretraining,high,False
apulia,Apulia,ITA013,ITA,The standard English/Latin exonym for the Italian region 'Puglia' is 'Apulia'.,pretraining,high,False
tuscany,Tuscany,ITA016,ITA,The standard English exonym for the Italian region 'Toscana' is 'Tuscany'.,pretraining,high,False
trentino-south tyrol,Trentino-South Tyrol,ITA017,ITA,Common English hybrid name combining the Italian name Trentino with the English exonym South Tyrol for this bilingual region.,pretraining,medium,False
aosta valley,Aosta Valley,ITA019,ITA,The standard English exonym for the Italian region 'Valle d'Aosta' is 'Aosta Valley'.,pretraining,high,False
ajlun,Ajlun,JOR001,JOR,"Alternative common English romanization of the Arabic name, widely used in travel and geographic sources.",pretraining,high,False
al balqa,Al Balqa,JOR004,JOR,"The full Arabic-derived English name including the definite article, commonly used in official and geographic references.",pretraining,medium,False
jerash,Jerash,JOR006,JOR,"Standard English spelling used for the famous Roman ruins and the governorate, differing from WB canonical 'Jarash'.",pretraining,high,False
kerak,Kerak,JOR007,JOR,"Common alternative English romanization of the governorate, also used for the historic crusader castle Al-Karak.",pretraining,high,False
maan,Maan,JOR008,JOR,"ASCII-stripped form of the canonical Ma'an, differing materially due to the apostrophe representing the Arabic ayn consonant.",pretraining,high,False
at tafilah,At Tafilah,JOR011,JOR,"Full romanized Arabic name including the definite article, used in some official geographic databases.",pretraining,medium,False
tafila,Tafila,JOR011,JOR,"Common alternative English romanization of the governorate, used in many English-language sources instead of WB canonical 'Tafiela'.",pretraining,high,False
aichi,Aichi,JPN001,JPN,The WB romanization 'Aiti' is Nihon-shiki; the standard English/Hepburn name for this prefecture is 'Aichi'.,pretraining,high,False
hiroshima,Hiroshima,JPN007,JPN,The WB romanization 'Hirosima' is Nihon-shiki; the universally used English name is 'Hiroshima'.,pretraining,high,False
fukui,Fukui,JPN009,JPN,The WB romanization 'Hukui' is Nihon-shiki; the standard English/Hepburn name is 'Fukui'.,pretraining,high,False
fukuoka,Fukuoka,JPN010,JPN,The WB romanization 'Hukuoka' is Nihon-shiki; the standard English/Hepburn name is 'Fukuoka'.,pretraining,high,False
fukushima,Fukushima,JPN011,JPN,The WB romanization 'Hukusima' is Nihon-shiki; the standard English/Hepburn name is 'Fukushima'.,pretraining,high,False
hyogo,Hyogo,JPN012,JPN,The WB romanization 'Hyoogo' uses a macron-style double vowel not used in standard English; the common English name is 'Hyogo'.,pretraining,high,False
ishikawa,Ishikawa,JPN014,JPN,The WB romanization 'Isikawa' is Nihon-shiki; the standard English/Hepburn name is 'Ishikawa'.,pretraining,high,False
kagoshima,Kagoshima,JPN017,JPN,The WB romanization 'Kagosima' is Nihon-shiki; the standard English/Hepburn name is 'Kagoshima'.,pretraining,high,False
kochi,Kochi,JPN019,JPN,The WB romanization 'Kooti' is Nihon-shiki; the standard English/Hepburn name is 'Kochi'.,pretraining,high,False
kyoto,Kyoto,JPN021,JPN,The WB romanization 'Kyooto' uses a double-o not used in standard English; the universal English name is 'Kyoto'.,pretraining,high,False
oita,Oita,JPN031,JPN,The WB canonical name 'Ooita' uses an older Nihon-shiki/Wapuro romanization; the standard modern Hepburn romanization used in English is 'Oita'.,pretraining,high,False
osaka,Osaka,JPN032,JPN,The WB canonical name 'Oosaka' uses a non-standard romanization; the universally recognized English name is 'Osaka'.,pretraining,high,False
shiga,Shiga,JPN035,JPN,The WB canonical name 'Siga' uses a non-standard romanization; standard Hepburn romanization used in English is 'Shiga'.,pretraining,high,False
shimane,Shimane,JPN036,JPN,The WB canonical name 'Simane' uses a non-standard romanization; standard Hepburn romanization used in English is 'Shimane'.,pretraining,high,False
shizuoka,Shizuoka,JPN037,JPN,The WB canonical name 'Sizuoka' uses a non-standard romanization; standard Hepburn romanization used in English is 'Shizuoka'.,pretraining,high,False
chiba,Chiba,JPN038,JPN,The WB canonical name 'Tiba' uses a non-standard romanization; standard Hepburn romanization used in English is 'Chiba'.,pretraining,high,False
tokushima,Tokushima,JPN039,JPN,The WB canonical name 'Tokusima' uses a non-standard romanization; standard Hepburn romanization used in English is 'Tokushima'.,pretraining,high,False
tokyo,Tokyo,JPN040,JPN,The WB canonical name 'Tookyoo' uses a non-standard romanization; the universally recognized English name is 'Tokyo'.,pretraining,high,False
tokyo metropolis,Tokyo Metropolis,JPN040,JPN,The Tokyo Metropolitan area is commonly referred to as 'Tokyo Metropolis' in English administrative and academic contexts.,pretraining,high,False
tochigi,Tochigi,JPN041,JPN,The WB canonical name 'Totigi' uses a non-standard romanization; standard Hepburn romanization used in English is 'Tochigi'.,pretraining,high,False
yamaguchi,Yamaguchi,JPN046,JPN,The WB canonical name 'Yamaguti' uses an older romanization; the standard modern English spelling of this Japanese prefecture is 'Yamaguchi'.,pretraining,high,False
yamanashi,Yamanashi,JPN047,JPN,The WB canonical name 'Yamanasi' uses an older romanization; the standard modern English spelling of this Japanese prefecture is 'Yamanashi'.,pretraining,high,False
akmola,Akmola,KAZ001,KAZ,Commonly referred to simply as Akmola in English-language sources.,pretraining,high,False
akmola region,Akmola Region,KAZ001,KAZ,"The standard English name for this oblast is Akmola Region, dropping the Russian '-skaya' suffix.",pretraining,high,False
aktobe,Aktobe,KAZ002,KAZ,Aktobe is the widely used English short form for this oblast.,pretraining,high,False
aktobe region,Aktobe Region,KAZ002,KAZ,"The standard English exonym for Aktyubinskaya is Aktobe Region, using the Kazakh-derived name.",pretraining,high,False
aktyubinsk region,Aktyubinsk Region,KAZ002,KAZ,Older anglicization of Aktyubinskaya sometimes used in English sources.,pretraining,medium,False
almaty oblast,Almaty Oblast,KAZ003,KAZ,English-language sources frequently use Almaty Oblast to distinguish the region from Almaty City.,pretraining,high,False
almaty region,Almaty Region,KAZ003,KAZ,The standard English name for Almatinskaya Oblast is Almaty Region.,pretraining,high,False
atyrau,Atyrau,KAZ005,KAZ,Atyrau is the commonly used English short form for this oblast.,pretraining,high,False
atyrau region,Atyrau Region,KAZ005,KAZ,The standard English name for Atyrauskaya Oblast is Atyrau Region.,pretraining,high,False
jambyl region,Jambyl Region,KAZ006,KAZ,The standard English name for this oblast (also spelled Zhambyl/Dzhambul) is Jambyl Region.,pretraining,high,False
zhambyl,Zhambyl,KAZ006,KAZ,Zhambyl is a common short English form for this region.,pretraining,high,False
zhambyl region,Zhambyl Region,KAZ006,KAZ,Zhambyl is an alternative English romanization widely used for this oblast.,pretraining,high,False
karaganda,Karaganda,KAZ007,KAZ,Karaganda is the widely used English short name for this oblast.,pretraining,high,False
karaganda region,Karaganda Region,KAZ007,KAZ,The standard English name for Karagandinskaya Oblast is Karaganda Region.,pretraining,high,False
karagandy region,Karagandy Region,KAZ007,KAZ,Karagandy is the Kazakh-derived alternate English spelling used in some official sources.,pretraining,medium,False
kostanay,Kostanay,KAZ008,KAZ,Kostanay is the most commonly used English short form for this oblast.,pretraining,high,False
kostanay region,Kostanay Region,KAZ008,KAZ,The standard modern English name for Kustanayskaya Oblast is Kostanay Region.,pretraining,high,False
qostanay region,Qostanay Region,KAZ008,KAZ,Qostanay is the Kazakh-script romanization used in some English official documents.,pretraining,medium,False
kyzylorda,Kyzylorda,KAZ009,KAZ,Kyzylorda is the widely used English short form for this oblast.,pretraining,high,False
kyzylorda region,Kyzylorda Region,KAZ009,KAZ,The standard English name for Kyzylordinskaya Oblast is Kyzylorda Region.,pretraining,high,False
mangystau,Mangystau,KAZ010,KAZ,Mangystau is the commonly used English short form for this oblast.,pretraining,high,False
mangystau region,Mangystau Region,KAZ010,KAZ,The standard English name for Mangistauskaya Oblast is Mangystau Region.,pretraining,high,False
pavlodar,Pavlodar,KAZ011,KAZ,Pavlodar is the widely used English short form for this oblast.,pretraining,high,False
pavlodar region,Pavlodar Region,KAZ011,KAZ,The standard English name for Pavlodarskaya Oblast is Pavlodar Region.,pretraining,high,False
